,page,part,speaker,speech,year
10,9,2009-01-07,Mr. VAN HOLLEN.," Madam Speaker, today,  the House considers the Presidential Libraries  Donation Reform Act.  I was a cosponsor of  this bill when  it was originally  introduced  in  2007 and I am proud to stand in support of it  today.  Under current  law, a sitting president can  accept private donations in unlimited amounts  for  the purpose of building a presidential  library. There is no requirement that the donor’s  identity or the amount of the donation be disclosed. The potential for abuse here is obvious.  This bill requires presidential libraries fundraising organizations to disclose to Congress  information about the donors and their donations during and  immediately  following  the  president’s term in office.  The bill originally passed the House on suspension  in March 2007, and  returns  to  the  House floor today after receiving strong support in the Senate.  I encourage my colleagues  to  join me  in  supporting  this  important piece of bipartisan  legislation.  Ms.  JACKSON-LEE  of  Texas. Madam  Speaker, I thank Congressman TOWNS for attempting to bring greater transparency to presidential library fundraising efforts with H.R. 36,  the ‘‘Presidential Library Donation Reform Act  of 2009.’’  We are facing a new day, with a new administration, and a new Democratic majority.  That is why it is important that we stay true to  our core values of  fairness,  transparency, a  accountability.  Starting with the lobbying and ethics reform,  we as a body understand that a responsible  government allows for openness. This legislation continues  to  rebuild our  trust with  the  American people.  This  legislation requires  in part  that,  ‘‘any  Presidential  library  fundraising  organization  shall submit on a quarterly basis with respect  to every contributor who gave the organization  a contribution or contributions (whether monetary or in-kind) totaling $200 or more for the  quarterly period.’’  Under current law, private organizations established for the purpose of building a presidential library can raise unlimited amounts of  money  from undisclosed donors while  the  President remains  in office.  It  takes nothing  more than common sense to see the potential  for abuse in this area and the need for basic  reform.  Presidential libraries serve an important purpose as depositories of presidential papers  and centers  for historical research.  In 1939,  President Franklin Roosevelt came up with the  idea of a privately-built, but  federally maintained library to house his presidential papers.  This split of  responsibilities between  the  public and the private sectors has continued  and has since been codified into law. In 1955,  the Presidential Libraries Act  formally established a system under which federally maintained  libraries would be built using  funds  raised by private organizations. More recent  amendments have required these private organizations  to provide an operating endowment  to  the National Archives  in addition  to  the library building.  Just  as  the  funding  requirements  have  grown, so have the libraries and their affiliated  institutions. Now  these  libraries are much  more  than basic research  facilities. They  include museums and conference centers along  with other tourist attractions; they are getting  more costly all the time.  The George H.W. Bush library was reported  to cost more  than $80 million  to build. The  Clinton library and museum cost about $165  million to build. News reports have indicated  that the fundraising goal for President Bush’s  library is $500 million—half a billion dollars—  before this institution is completed.  The vast scale of these secret fundraising  efforts creates opportunities for abuse. Donors  who do not need to be identified can give unlimited amounts of money to support these libraries while the President remains in office.  This  legislation would  require  that presidential  libraries disclose  the  identity of  their  donors to Congress and the National Archives  during their period of most intense fundraising,  which is while the President is in office and in  the several years after the end of his term.  This legislation is but one part of a larger effort by this Congress to restore honesty and  accountability in the Federal Government.  CONCLUSION  Madam Speaker, I want to thank Chairman  TOWNSand the Committee on Oversight and  Government Reform  for helping us build a  strong  foundation of  trust with  the American  people. I ask my colleagues to support me in  supporting H.R. 36.  ",2009
11,9,2009-01-07,Mr. TOWNS.," On that note, Madam  Speaker, I yield back the balance of  my time.  ",2009
12,9,2009-01-07,The SPEAKER  pro  tempore.," The  question is on the motion offered by  the gentleman  from New York  (Mr.  TOWNS) that the House suspend the  rules and pass the bill, H.R. 36.  The question was taken.  ",2009
13,9,2009-01-07,The SPEAKER pro tempore.," In the  opinion of the Chair, two-thirds being  in the affirmative, the ayes have it.  ",2009
14,9,2009-01-07,Mr. TOWNS.," Madam Speaker,  that I demand the yeas and nays.  The yeas and nays were ordered.  ",2009
15,9,2009-01-07,The SPEAKER pro tempore.," Pursuant to clause 8 of rule XX and the  on  VerDate Nov 24 2008  02:33 Jan 08, 2009 Jkt 079060 PO 00000 Frm 00009 Fmt 7634 Sfmt 0634 E:\CR\FM\K07JA7.018 H07JAPT1 E S U O H h t i w 8 6 C P D O R P n o 2 s d o o w w         ",2009
16,16,2009-01-07,The SPEAKER pro tempore.," Under a  previous order of the House, the gentleman  from  North  Carolina  (Mr.  JONES) is recognized for 5 minutes.  (Mr. JONES addressed the House. His  remarks will appear hereafter in the  Extensions of Remarks.)  f  b1300  HONORING THE LIFE OF FORMER  SENATOR CLAIBORNE PELL  ",2009
17,16,2009-01-07,The SPEAKER pro tempore.," Under a  previous order of the House, the gentleman from Rhode Island (Mr. KENNEDY) is recognized for 5 minutes.  ",2009
18,16,2009-01-07,Mr.  KENNEDY.,"  Today,  Madam  Speaker, I join my colleague Congressman LANGEVIN in this tribute to Senator Pell, the great statesman  from  Rhode Island. His name is well-known  throughout  this  country,  associated  most notably with the Pell Grant, the  grant that allows millions of young  people in this country opportunity to  get a higher education.  But Madam Speaker, we wanted to  pay tribute to Senator Pell not only  for what he did to open the doors for  millions in this country for economic  and educational opportunity, we wanted to pay tribute to him for all that  he’s done as a five-term Senator from  Rhode Island and one of the most distinguished Senators ever to serve not  only Rhode Island but this country.  He was the author of the Humanities  Act, National Endowment for the Humanities, which allows the arts to be  accessible  to  the average person as  well.  He was really the founder and the  person who really began the belief that  we ought to work cooperatively around  the world in terms of foreign policy. As  the chairman of the Foreign Relations  Committee, he was the one who led in  diplomacy.  And my friends, he was far ahead of  his  time as an environmentalist as  well.  Madam Speaker, we could talk about  his policies and what they meant to  our country, but to know him as a person is to really say the most about  Senator Pell. He was the most self-effacing, genteel, kind-hearted man that  you could ever know. And in a world of  rough-and-tumble politics, it’s hard to  find a genuine person such as that. And  for that reason, on a personal level I  was honored to know him and serve  with him and today join my colleague,  in paying  tribute  to  LANGEVIN,  JIM him.  Senator Pell left an extraordinary legacy that  is appreciated by so many people around the  world.  He spent his life in service to our country  from his start in 1960 as a U.S. Senator from  Rhode Island to his retirement in 1997, and in  the years beyond in which he remained active  in our State.  Our Nation has lost one of its most visionary  and thoughtful legislative leaders, and his hallmark, the Pell Grant, exemplifies his efforts to  promote  education  and  opportunity  for  all  Americans. So many  families,  though  they  may not know his name, were touched by the  work and generous spirit of Senator Pell.  There are so many areas in which he led  our country to the forefront such as oceanography,  foreign policy, and college  tuition assistance. His commitment  to public service  and his notable contributions to Rhode Island  and our Nation continue to inspire people of  all generations.  The magnitude and depth of his accomplishments may never be known because he  let  others take the credit and acclaim. His style  was understated yet magnanimous and his  work ushered in many essential policies that  have shaped our world today.  Earlier  this week, President Clinton, Vice  President-elect Biden, Senator KENNEDY, Senator REEDand many of his other friends from  around the globe paid tribute to his work and  celebrated his life.  He will be truly missed and my sympathies  and prayers are with his family. He leaves behind his wife of 64 years, wonderful Nuala  O’Donnell Pell; his son, Christopher T.H. Pell,  of Newport; a daughter, Dallas Pell, of New  York City; as well as five grandchildren and  five great grandchildren.  But those of us who will miss him extends  much farther. It is our country’s sorrow to lose  such a giant of the Senate and the Nation.  And with that, I would like to yield  the floor to my colleague and friend  from  the Second Congressional District, Congressman LANGEVIN.  ",2009
19,16,2009-01-07,Mr. LANGEVIN.," Madam Speaker, I  thank my colleague for yielding, and I  am honored to join with him today in  paying tribute to our State’s former  senior Senator, Senator Claiborne Pell,  who passed away on the 1st of this  year. He was an incredible public servant, and someone who I was proud to  call a friend and a mentor. He was one  of Rhode Island’s greatest statesmen  and gentlemen, as I said, who passed  away on the first day of 2009.  Born on November 22, 1918  into a  prominent and wealthy family, Senator  Pell was better known as a champion  for the common man and also the ‘‘Father of the Pell Grant Program.’’ After  receiving a degree from Princeton University, he served in the United States  Coast Guard during World War II and  later traveled the world as a Foreign  Service Officer of the State Department. In 1960, he was elected to his  first of six terms as a United States  Senator from Rhode Island. After retiring in 1997, he became our State’s longest-serving Senator.  VerDate Nov 24 2008  01:20 Jan 08, 2009 Jkt 079060 PO 00000 Frm 00016 Fmt 7634 Sfmt 0634 E:\CR\FM\K07JA7.033 H07JAPT1 E S U O H h t i w 8 6 C P D O R P n o 2 s d o o w w         ",2009
20,23,2009-01-07,The SPEAKER pro tempore.," Under  the Speaker’s announced policy of January 18, 2007, the gentleman from California (Mr. SHERMAN) is recognized for  60 minutes as the designee of the majority leader.  ",2009
21,23,2009-01-07,Mr. SHERMAN.," I will take much but  not all of this hour to speak. Roughly,  the first half of the presentation will  be on our economic situation. The second half will focus on foreign policy.  I know that I have a number of colleagues  that may  have  important  things to say to this House, and if they  come to the floor, I’ll be happy to yield  them a few minutes at a time that is  convenient for them.  Even with this long speech, I will not  be able to cover all the details that I’d  like  to  provide  to my  colleagues.  Therefore, I invite all my colleagues to  visit the relevant portion of my web  page, bradsherman.house.gov for more  of the details of the matters I’ll be discussing here.  In talking about our economy, I will  divide my speech first to talking about  matters relevant to the Financial Services Committee, on which I’ve served  for 12 years, and particularly the bill  known as TARP, or EESA, the Emergency Economic Stabilization Act, best  known to the public as the $700 billion  bailout bill.  The second part of my economic presentation will deal with the stimulus  package now being put together, particularly by the Committees on Appropriations and Ways and Means.  Now, I was a critic and twice voted  against the $700 billion bailout bill, the  so-called TARP. The supporters of that  bill will have to admit that it has not  restored  our  economy  as  the  proponents had advertised, and, in fact,  some of the worst times for the economy were the 2 to 3 weeks following its  passage.  On the other hand, those of us who  were critics should admit that the bill  has, frankly, cost the government far  less than I had anticipated. When I say  cost, I don’t mean just how much is  spent, but  from  that must be  subtracted the value of the securities, the  bonds and the stock certificates received by the Federal Government.  In this case, Secretary Paulson misled this House and the other body by  testifying that he would use the $700  billion to buy toxic assets, bad bonds.  Had he done that, and all of us voting  on the bill had every reason to believe  that he was telling us the truth, had he  carried out that policy, then he would  have bought,  for the money he had  spent, whether it’s the 350 billion he  has spent so far or the 700 billion that  I feared he would spend, he would have  spent that money in return for assets  of dubious value. That’s why they’re  called toxic assets.  In contrast, having misled the House  and the other body, Secretary Paulson  bought preferred stock in the various  financial institutions. In doing so, he  was overly generous to Wall Street as  to the terms, but, nevertheless, he did  secure assets for the Treasury that are  of substantial value.  Paulson’s shift,  frankly, was right  along the lines that many of us who  are critics of the bill had urged him to  adopt. And so those who supported the  bill, those who are critics of it, must  both recognize that what the Treasury  has done so far is far different from  what all of us believed would, in fact,  be the policy.  Now, we see that $350 billion has been  expended by the Treasury, and another  $350 billion  remains unspent.  I am  pleased  that  the Secretary  of  the  Treasury has not yet taken the procedural actions to release and give himself control of the remaining $350 billion.  It is my understanding that leadership will bring to this House a bill that  will  release  the  $350 billion  to  the  Treasury and will  impose additional  conditions. And I’d like to take a few  minutes to address what I think ought  to be in that bill.  First, is the issue of whether any of  the funds to be released, any of that  second $350 billion, will be available to  the Bush administration. Last month I  wrote the chairman of the Financial  Services Committee  saying  that we  should have limits on the amount that  could be spent by the Bush administration out of the second $350 billion. In  fact, I proposed that only $10 billion or  less be available to the Bush administration to deal with whatever exigencies it dealt with in its waning days. It  is my understanding that the bill that  will be brought before this House will  provide the Bush administration with  $0 to deal with whatever comes up in  its last week or so in office.  In any case,  I think, having seen  Paulson in action, the vast majority of  this House would believe that somewhere between 95 percent and 100 percent of the second $350 billion, if it is  made available to anyone in the executive branch should be made available  only to the Obama administration.  I should point out something about  process. It would be best if any bill  dealing with the second $350 billion was  actually dealt with in regular order.  Now, I’m not saying necessarily that  every committee of possible jurisdiction should do a full markup, but as we  deal with this economic crisis, at least  the primary committee as to each bill  should have a markup so that Members  can be heard, and the House can work  its will.  In addition, I would hope that the  Rules Committee would allow a reasonable number of amendments to be considered on the floor.  In addition, I would hope that the Financial Services Committee would give  the same scrutiny to the financial institutions who have received and are  likely  to  receive additional bailout  monies as we gave to the executives of  the three automobile makers.  We need extensive hearings. We need  to bring the titans of Wall Street down,  and we need to have these hearings at  both the full committee and the subcommittee level.  We do not want to give further credence to the accusation that Congress  and the administration have two standards for scrutinizing bailout requests,  one for those who shower before work  and a more severe standard for those  who must  shower  after work. We  should have at least the same amount  of scrutiny to an industry that has already received the bulk of $350 billion  as we provided to an automobile industry that  is requesting amounts  less  than 5 percent of that amount.  Now, what should we provide in the  way of restrictions to those who obtain  bailout  funds or  retain  the bailout  funds they have already received?  Federal dollars should be expended to  bail out private interests only on the  toughest terms. Taxpayers should demand the highest yield, the largest equity upside, the strictest limits on executive compensation and perks. Even  when we bail out  individual homeowners rather than big time executives  and shareholders of major companies,  the Treasury should get a large share  of the profit that they earn when they  sell their homes.  Why is it so important that we are  tough on those who seek bailout funds?  There are  three  important  reasons.  First, being tough will increase support  for the program. The public  is currently focused on executive compensation and perks. I think it will soon  focus on the value of the securities the  VerDate Nov 24 2008  01:20 Jan 08, 2009 Jkt 079060 PO 00000 Frm 00023 Fmt 7634 Sfmt 0634 E:\CR\FM\K07JA7.051 H07JAPT1 E S U O H h t i w 8 6 C P D O R P n o 2 s d o o w w         ",2009
22,30,2009-01-07,Mr.  T.," SA´NCHEZ BLUMENAUER, Mrs. CHRISTENSEN, Ms.  EDDIEBERNICEJOHNSONof Texas, Mr.  GRIJALVA, Ms.  JACKSON-LEEof Texas, Mr. SIRES, Mr.  BUTTERFIELD, Mr.  CAPUANO, Mr. HINCHEY, Mr. GEORGE  JOHNSON MILLERof California, Mr. STARK, Mr.  of Georgia, Mr. DAVIS of  Alabama, Mr.  HOLLEN, Ms.  VAN WASSERMANSCHULTZ, Mr. COHEN, Ms.  CARTER, Mr. PRICE HENSARLING, Mr.  EDWARDSof Maryland, and Mr. LEWIS  of Georgia):  H.R. 225. A bill to amend title 11 of the  United States Code with respect to modification of certain mortgages on principal residences, and for other purposes; to the Committee on the Judiciary.  By Mr. PENCE (for himself, Mr. WALDEN, Mr. UPTON, Mr. BOEHNER, Mr.  CANTOR, Mr. MCCARTHYof California,  Mr. MCCOTTER, Mrs. MCMORRISRODGERS, Mr. SESSIONS, Mr. DREIER, Mr.  of Georgia, Mr.  ADERHOLT, Mr.  AKIN, Mr. ALEXANDER, Mr. AUSTRIA,  Mr. BACHUS, Mr. BARTLETT, Mr. BARTONof Texas, Mr. BILBRAY, Mr. BILIof Utah, Mrs.  BLACKBURN, Mr. BLUNT, Mr. BONNER,  Mrs. BONOMACK, Mr. BOOZMAN, Mr.  BOUSTANY, Mr. BRADYof Texas, Mr.  BROUNof Georgia, Ms. GINNYBROWN-  WAITEof Florida, Mr. BUCHANAN, Mr.  BURGESS, Mr. BURTONof Indiana, Mr.  CALVERT, Mr. CAMP, Mr. CAMPBELL,  Mr. CHAFFETZ, Mr. COBLE, Mr. COLE,  Mr. CONAWAY, Mr. CRENSHAW, Mr.  CULBERSON, Mr. DAVISof Kentucky,  Mr. DEAL of Georgia, Mr. LINCOLN  of Florida, Mr. MARIO  DIAZ-BALARTof Florida, Ms. FALLIN,  RAKIS, Mr. BISHOP DIAZ-BALART FRANKS HASTINGS Mr. FLAKE, Mr. FORBES, Ms. FOXX,  Mr.  of  Arizona,  Mr.  GALLEGLY, Mr. GARRETTof New Jersey, Mr. GERLACH, Mr. GINGREY of  Georgia, Mr. GOHMERT, Mr. GOODLATTE, Ms. GRANGER, Mr. GRAVES,  Mr. GUTHRIE, Mr. HALLof Texas, Mr.  of Washington, Mr. HELLER, Mr. HERGER, Mr. HOEKSTRA, Mr.  HUNTER, Mr. INGLIS, Mr. SAMJOHNSONof Texas, Mr. JOHNSONof Illinois,  Mr. JONES, Mr. JORDANof Ohio, Mr.  KINGSTON, Mr. KIRK, Mr. KLINE of  Minnesota, Mr. LAMBORN, Mr. LATTA,  Mr. LEWISof California, Mr. LINDER,  Mr.  Mr.  Ms.  LOBIONDO,  LUCAS,  LUMMIS, ",2009
23,30,2009-01-07,Mr. DANIELE.," LUNGREN of  MILLER MCHENRY,  MCCLINTOCK,  California, Mr. MACK, Mr. MANZULLO,  Mr. MARCHANT, Mr. MCCAUL, Mr.  Mr.  Mr.  MCHUGH, Mr. MCKEON, Mr. MICA, Mr.  of Florida, Mrs. MILLER of  Michigan, Mr. MORANof Kansas, Mr.  of Pennsylvania, Mr.  PAUL, Mr. PETRI, Mr. PITTS, Mr.  PLATTS, Mr. POSEY, Mr. PUTNAM, Mr.  REHBERG, Mr. REICHERT, Mr. ROYCE,  Mr. ROHRABACHER, Mr. SCALISE, Mrs.  SCHMIDT, Mr. SCHOCK, Mr. SENSENTIMMURPHY BRENNER, Mr. SHADEGG, Mr. SHIMKUS,  Mr. SHUSTER, Mr. SIMPSON, Mr. SMITH  of Nebraska, Mr. SMITHof New Jersey, Mr. SMITHof Texas, Mr. SOUDER,  Mr. STEARNS, Mr. SULLIVAN, Mr.  TERRY, Mr. THOMPSONof California,  Mr. TIAHRT, Mr. TIBERI, Mr. WAMP,  of  Mr. WESTMORELAND, Mr. WILSON South Carolina, and Mr. WOLF):  H.R. 226. A bill to prevent the Federal  Communications  Commission  from  repromulgating the fairness doctrine; to the  Committee on Energy and Commerce.  By Mr. BROUN of Georgia (for himself,  Mr. DEALof Georgia, Mr. LINDER, Mr.  GINGREYof Georgia, Mr. WESTMORELAND, Mr. KINGSTON, Mr. FLEMING,  Mr.  Mr.  ZULLO, Mr. BISHOP MCHENRY, Mr. BURTON HUNTER,  HENSARLING,  LETT, Mr. SCHOCK, Mr. GARRETT SAM JOHNSON FORBES,  WITTMAN,  LUCAS, Mr. ALEXANDER, Mr.  of  Indiana,  Mr.  LAMBORN, Ms.  FALLIN, Mr.  HERGER, Mr. JONES, Mr. TERRY, Mr.  FRANKSof Arizona, Mr. CARTER, Mr.  of Texas, Mr. INGLIS,  Mr.  Mr.  Mr.  Mr.  WAMP, Mr. AKIN, Mr. KLINEof Minnesota, Mr. KINGof Iowa, Mr. MANof Utah, Mrs.  SCHMIDT, Mr. WILSONof South Carolina, Mr. BOOZMAN, Mr. NEUGEBAUER,  Mr. ROGERSof Alabama, Mr. ROGERS  of Kentucky, Mr. CONAWAY, Mr. MILLERof Florida, Mr. TIAHRT, Mr. BARRETTof South Carolina, Mr. RYANof  Wisconsin, Mr. EHLERS, Mr. BARTof  New Jersey, Mr. ADERHOLT, Mr. ROONEY, and Mr. LATTA):  H.R. 227. A bill to provide that human life  shall be deemed to begin with fertilization;  to the Committee on the Judiciary.  By Ms. JACKSON-LEE of Texas:  H.R. 228. A bill to direct the Secretary of  Veterans Affairs to establish a scholarship  program for students seeking a degree or certificate in the areas of visual impairment  and orientation and mobility; to the Committee on Veterans’ Affairs.  By Mr. RYAN of Ohio (for himself and  Ms. SUTTON):  H.R. 229. A bill to provide for the retention  of the name of Mount McKinley; to the Committee on Natural Resources.  By Mr. CARDOZA:  H.R. 230. A bill to prevent foreclosure of  home mortgages and  increase  the availability of affordable new mortgages; to the  Committee on Financial Services.  VerDate Nov 24 2008  01:20 Jan 08, 2009 Jkt 079060 PO 00000 Frm 00030 Fmt 7634 Sfmt 0634 E:\CR\FM\K07JA7.065 H07JAPT1 E S U O H h t i w 8 6 C P D O R P n o 2 s d o o w w         ",2009
24,37,2009-01-07,The  PRESIDING  OFFICER.,  The  clerk will call the roll.  The assistant legislative clerk proceeded to call the roll.  ,2009
25,37,2009-01-07,Mr. LEAHY.," Madam President, I ask  unanimous consent that the order for  the quorum call be rescinded.  ",2009
26,37,2009-01-07,The PRESIDING OFFICER.," Without  objection, it is so ordered.  f  TRIBUTE TO SENATOR ROBERT  BYRD  ",2009
